County name,County FIPS code,Infant center-based price: 2018 ($),Infant center-based price: 2023 (estimated) ($),Infant center-based price as share of family income: 2018 (%),Infant home-based price: 2018 ($),Infant home-based price: 2023 (estimated) ($),Infant home-based price as share of family income: 2018 (%),Toddler center-based price: 2018 ($),Toddler center-based price: 2023 (estimated) ($),Toddler center-based price as share of family income: 2018 (%),Toddler home-based price: 2018 ($),Toddler home-based price: 2023 (estimated) ($),Toddler home-based price as share of family income: 2018 (%),Preschool center-based price: 2018 ($),Preschool center-based price: 2023 (estimated) ($),Preschool center-based price as share of family income: 2018 (%),Preschool home-based price: 2018 ($),Preschool home-based price: 2023 (estimated) ($),Preschool home-based price as share of family income: 2018 (%),School-age center-based price: 2018 ($),School-age center-based price: 2023 (estimated) ($),School-age center-based price as share of family income: 2018 (%),School-age home-based price: 2018 ($),School-age home-based price:  2023 (estimated) ($),School-age home-based price as share of family income: 2018 (%),Women's labor force participation rate (%),Women's median earnings ($),Median family income ($),Percent of families in poverty (%),Total population,Percent Asian (%),Percent Black (%),Percent Hispanic (of any race) (%),Percent White (%)
Morgan,39115,7481.76,8806.42,15.04,7331.48,8629.53,14.74,6760.00,7956.87,13.59,6795.88,7999.11,13.66,6240.00,7344.81,12.54,6240.00,7344.81,12.54,3250.00,3825.42,6.53,5468.84,6437.11,10.99,60.40,21601.00,49744.00,15.80,14702.00,0.20,4.70,0.30,92.50
Morrow,39117,9412.00,11078.41,13.59,7652.84,9007.79,11.05,8580.00,10099.11,12.39,7280.00,8568.94,10.51,7540.00,8874.97,10.88,6883.24,8101.93,9.94,5200.00,6120.67,7.51,6240.00,7344.81,9.01,77.00,26946.00,69275.00,7.10,34976.00,0.10,1.00,1.40,96.30
Muskingum,39119,7481.76,8806.42,12.97,7331.48,8629.53,12.70,6760.00,7956.87,11.71,6795.88,7999.11,11.78,6240.00,7344.81,10.81,6240.00,7344.81,10.81,3250.00,3825.42,5.63,5468.84,6437.11,9.48,71.60,22319.00,57707.00,12.50,86076.00,0.40,3.10,1.10,91.90
Noble,39121,7481.76,8806.42,13.18,7331.48,8629.53,12.91,6760.00,7956.87,11.90,6795.88,7999.11,11.97,6240.00,7344.81,10.99,6240.00,7344.81,10.99,3250.00,3825.42,5.72,5468.84,6437.11,9.63,62.60,26974.00,56786.00,9.00,14443.00,0.10,5.60,0.70,92.50
Ottawa,39123,12740.00,14995.64,17.54,8510.84,10017.70,11.71,11180.00,13159.44,15.39,8216.00,9670.66,11.31,9880.00,11629.28,13.60,7800.00,9181.01,10.74,6240.00,7344.81,8.59,6500.00,7650.84,8.95,74.50,24671.00,72652.00,6.80,40709.00,0.20,1.10,5.00,95.60
Paulding,39125,7481.76,8806.42,11.45,7331.48,8629.53,11.22,6760.00,7956.87,10.34,6795.88,7999.11,10.40,6240.00,7344.81,9.55,6240.00,7344.81,9.55,3250.00,3825.42,4.97,5468.84,6437.11,8.37,70.60,23371.00,65364.00,7.60,18872.00,0.30,0.80,4.70,95.00
Perry,39127,7481.76,8806.42,13.06,7331.48,8629.53,12.79,6760.00,7956.87,11.80,6795.88,7999.11,11.86,6240.00,7344.81,10.89,6240.00,7344.81,10.89,3250.00,3825.42,5.67,5468.84,6437.11,9.54,67.00,24817.00,57300.00,14.60,35985.00,0.20,0.40,0.80,97.20
Pickaway,39129,9412.00,11078.41,12.74,7652.84,9007.79,10.36,8580.00,10099.11,11.61,7280.00,8568.94,9.85,7540.00,8874.97,10.20,6883.24,8101.93,9.32,5200.00,6120.67,7.04,6240.00,7344.81,8.44,71.60,31640.00,73894.00,8.90,57420.00,0.50,3.50,1.40,93.40
Pike,39131,7481.76,8806.42,13.66,7331.48,8629.53,13.38,6760.00,7956.87,12.34,6795.88,7999.11,12.40,6240.00,7344.81,11.39,6240.00,7344.81,11.39,3250.00,3825.42,5.93,5468.84,6437.11,9.98,59.30,22666.00,54788.00,14.10,28214.00,0.10,1.10,1.10,95.50
Portage,39133,12740.00,14995.64,17.10,8510.84,10017.70,11.42,11180.00,13159.44,15.01,8216.00,9670.66,11.03,9880.00,11629.28,13.26,7800.00,9181.01,10.47,6240.00,7344.81,8.38,6500.00,7650.84,8.73,74.20,21754.00,74495.00,8.50,162644.00,1.90,4.10,1.80,90.80
